2MASX,NED_id,ra,dec,l,b,Kmag,Kmag_err,z,zdist,zdist_err,D,D_err,gal_type,n_sumss,n_nvss,F1400,F1400_err,F843,F843_err,Fsyn,Lsyn,sum_ma,max_ma,lim_ma,max_dist_to_gal,min_dist_to_gal,contour_dist,geo_cen_ra,geo_cen_dec,flux_cen_ra,flux_cen_dec,class
05581173+5328180,2MASX J05581173+5328180,89.54904,53.47165,159.61256,14.14952,11.186,0.049,0.0349576872,0.0361577402,0.0005003469,154.718053368,2.1409716269,0,0,1,386.4,11.6,0,0,446.558466802,14069045481600000000000000000000000000000,0.0054166667,0.0054166667,1,0.0001974378,0.0001974378,0.0028367335,89.5519977294,53.4701731887,89.5519537283,53.4743411508,p
06020973-3956597,2MASX J06020973-3956597,90.54052,-39.94987,246.49434,-25.99927,11.417,0.081,0.0455917623,0.0460509143,0.0005003469,198.478275462,2.1564824057,-4,2,2,396.7,10.0846417884,667,20.4941455055,568.573700713,29479291636900000000000000000000000000000,0.0635833333,0.0388333333,0,0.0247274282,0.0035673071,0,90.5540094064,-39.9463904878,90.5420524548,-39.9464468472,j
06065806-4929363,PKS 0605-494,91.74198,-49.4934,257.12198,-27.26873,11.241,0.067,0.0524131812,0.0531562358,0.0005003469,230.2782535,2.1675539023,-5,1,0,0,0,1454.6,50.4,1239.9509821,86539561698900000000000000000000000000000,0.0243888889,0.0243888889,0,0.0023432523,0.0023432523,0,91.7382355347,-49.4931244479,91.7385096359,-49.489015168,j
06093663+0729211,2MASX J06093663+0729211,92.40273,7.48913,201.44975,-5.7804,10.767,0.074,0.0550049868,0.056543605,0.0005003469,245.546893826,2.1728119902,98,0,3,267.4,6.0737138556,0,0,309.03140275,24523125629200000000000000000000000000000,0.0788611111,0.0324166667,0,0.0360143715,0.0030015674,0,92.4076379849,7.4789593614,92.4034393183,7.483130302,j
06120351-3257472,2MASX J06120351-3257472,93.01468,-32.96313,239.8009,-22.07215,11.355,0.062,0.0779142803,0.08064091,0.0005003469,356.160531339,2.2098437615,-2,0,6,347.8,7.9037965561,0,0,401.948847706,67106824662500000000000000000000000000000,0.1264722222,0.0352222222,0,0.0846108418,0.0025874176,0.0322916241,93.0099444499,-32.9664320913,92.9853237589,-32.9536420148,j
06153339+5158476,MCG +09-11-006,93.88911,51.97989,162.17178,15.88752,10.735,0.051,0.0501349273,0.0519911909,0.0005003469,225.042930878,2.1657424475,4,0,1,786.7,25.7,0,0,909.181019236,60601787115000000000000000000000000000000,0.0162777778,0.0162777778,0,0.0016005266,0.0016005266,0,93.8890584126,51.9769600154,93.8820982446,51.9810037487,j
06153645+7102152,UGC 03426,93.90173,71.03753,143.29608,22.71889,8.987,0.02,0.0135094116,0.0140293464,0.0004586513,59.0471573139,1.9303862749,-2,0,1,1100.4,33,0,0,1271.72085111,5835715365080000000000000000000000000000,0.0045,0.0045,1,0.0002112171,0.0002112171,0.0005915737,93.901176014,71.0380935195,93.8891995696,71.042521404,p
06162209-2122217,NGC 2207,94.09206,-21.37272,228.68503,-17.00778,8.414,0.02,0.0091430363,0.0089103989,0.000358582,37.3598007324,1.4715079415,4,0,2,393.2,9.5718336801,0,0,454.417156176,834772516458000000000000000000000000000,0.0595277778,0.0308055556,0,0.0149930115,0.0114937073,0,94.0935031005,-21.3775315649,94.089135553,-21.3691489122,g
06164203+6630240,CGCG 308-017,94.17524,66.50671,147.96912,21.38415,10.531,0.044,0.0140331097,0.0145217665,0.0004920078,61.1425130437,2.0715520182,-5,0,1,287.9,8.6,0,0,332.723039835,1637094559950000000000000000000000000000,0.0051666667,0.0051666667,1,0.0001212539,0.0001212539,0,94.1740109385,66.5061585901,94.163578349,66.5064396368,p
06181305-4844580,2MASX J06181305-4844580,94.55432,-48.74951,256.73334,-25.3145,10.884,0.061,0.0468159484,0.0472407047,0.0005003469,203.781658307,2.1583403181,-5,4,0,0,0,2126.5,46.1249390243,1812.70161105,99074257274900000000000000000000000000000,0.1115555556,0.0555833333,0,0.0692979415,0.0216624303,0.0229234435,94.5460500404,-48.7269009834,94.5135062005,-48.7391062674,j
06183771+7821252,NGC 2146,94.65713,78.35702,135.65346,24.8964,7.125,0.016,0.0029787419,0.0036232567,0.0004419731,15.9303817399,1.617834434,3,0,1,1073.6,39.9,0,0,1240.74836946,414419707064000000000000000000000000000,0.0084166667,0.0084166667,0,0.000380005,0.000380005,0,94.6509341862,78.3581156569,94.6509341862,78.3581156569,g
06200097-3711410,ESO 365-IG 006 NED01,95.00407,-37.19481,244.68521,-21.87291,10.958,0.052,0.0328161953,0.0327213479,0.0005003469,139.659779866,2.1355579798,-3,3,3,2897,67.9271668775,4151.8,87.1347232738,3539.1368675,90854069532700000000000000000000000000000,0.03775,0.02925,0,0.0466068618,0.0089549807,0,95.0025327039,-37.1998912973,94.9986278971,-37.1895080295,j
06214330-5241333,PKS 0620-52,95.43043,-52.6926,261.13077,-25.62202,10.093,0.054,0.0511022679,0.0517280741,0.0005003469,223.861717397,2.1653331313,-5,3,0,0,0,4840.3,115.920403726,4126.03790639,272143017812000000000000000000000000000000,0.0840277778,0.0364166667,0,0.0354228415,0.0018336975,0,95.4152888432,-52.6849184735,95.4103530964,-52.677138392,j
06230765-6436211,2MASX J06230765-6436211,95.78202,-64.60579,274.31158,-27.31945,11.524,0.048,0.1288897932,0.1376556478,0.0005003469,631.366793186,2.2948742908,-9,1,0,0,0,347.7,13.5,296.391417898,155501082818000000000000000000000000000000,0.0095,0.0095,0,0.0004352295,0.0004352295,0,95.8695220726,-64.5825943435,95.8983912355,-64.5761067976,j
06233595-6434413,2MASX J06233595-6434413,95.89975,-64.5782,274.28696,-27.26621,10.88,0.068,0.0463656347,0.046692612,0.0005003469,201.337505797,2.1574846453,-5,2,0,0,0,377.8,12.539936204,322.049691349,17182113204700000000000000000000000000000,0.0846388889,0.0576388889,0,0.1194927305,0.0047148227,0.0513008004,95.876436602,-64.5860710107,95.905705856,-64.5727846759,j
06264958-5432340,PKS 0625-545,96.7066,-54.54287,263.30832,-25.2619,11.067,0.065,0.0519762101,0.0526346091,0.0005003469,227.933214258,2.1667430476,-5,4,0,0,0,5337.9,99.5645017062,4550.20923094,311136467971000000000000000000000000000000,0.07775,0.0356111111,0,0.0324382162,0.0089395127,0,96.6953546841,-54.5456623769,96.6900247558,-54.5420063375,j
06265276-2437014,ESO 489- G 057,96.71985,-24.6171,232.78622,-16.04994,9.876,0.04,0.0229446423,0.0223788122,0.0005003469,94.7838629429,2.11918354,-5,0,3,263.9,7.0441465061,0,0,304.986489102,3606232557950000000000000000000000000000,0.0702222222,0.0336111111,0,0.0502761227,0.0009315981,0.0021073384,96.7378335303,-24.6024209273,96.7241088319,-24.6066526385,j
06270669-3529152,PKS 0625-35,96.77799,-35.4876,243.45306,-19.96728,10.739,0.068,0.0548548822,0.0558112331,0.0005003469,242.239801622,2.1716762553,-5,2,3,4507.8,103.166418955,6280,158.147178287,5353.28761691,413443246434000000000000000000000000000000,0.0393055556,0.0325277778,0,0.0134064909,0.0014496926,0,96.7786735846,-35.4835528098,96.7734399167,-35.4876234837,j
06312271+2501067,3C 162,97.84464,25.01852,188.37314,7.02743,11.68,0.05,0.0830011575,0.0869154025,0.0005003469,385.528966601,2.2193789731,98,0,3,1070.7,29.465403442,0,0,1237.39686958,242062414979000000000000000000000000000000,0.0305555556,0.0156944444,0,0.0319331002,0.0017824843,0,97.8532899507,25.0140062047,97.8441535483,25.0182825646,j
06353594+2616376,4C +26.23,98.89974,26.27719,187.66309,8.43945,11.116,0.055,0.0402280255,0.0412102227,0.0005003469,176.99107394,2.1489069067,98,0,1,927.3,30.7,0,0,1071.67097895,44184354985200000000000000000000000000000,0.0206111111,0.0206111111,0,0.0033130088,0.0033130088,0,98.9079074662,26.2786932004,98.8986126328,26.2786182728,j
06442508-4343484,ESO 255- G 017,101.10458,-43.73016,252.88878,-19.56639,11.217,0.068,0.0615161896,0.0628039763,0.0005003469,273.948749123,2.1824956141,-2,4,0,0,0,3112.4,66.2016616106,2653.11662084,262059135632000000000000000000000000000000,0.1295,0.0936388889,0,0.0467609841,0.0069264993,0,101.112266261,-43.7350604033,101.103970628,-43.7439390999,j
06502151-5549325,ESO 161-IG 027 NED02,102.58959,-55.82574,265.5481,-22.30921,10.599,0.057,0.0497179702,0.0502120151,0.0005003469,217.063890094,2.1629731566,-5,4,0,0,0,1858.5,48.5870353078,1584.24920956,98243309350800000000000000000000000000000,0.0946111111,0.0601944444,0,0.0506504111,0.0148568824,0.0035086638,102.620190687,-55.8288961581,102.576615509,-55.8254222674,j
06503056+2833345,B2 0647+28,102.62732,28.55956,186.99953,12.40537,11.462,0.047,0.0636576815,0.0659782611,0.0005003469,288.440100423,2.1873887388,98,0,5,457.5,9.5979164406,0,0,528.727998348,57895912774000000000000000000000000000000,0.1153055556,0.0350833333,0,0.0443417925,0.0009444396,0,102.628768321,28.5682442356,102.633567474,28.5641243737,j
06505914+1518493,4C +15.18,102.74651,15.31376,199.18716,6.81916,11.752,0.05,0.0564593333,0.0580998817,0.0005003469,252.585208676,2.1752233932,98,0,2,849.6,22.1070124621,0,0,981.873895949,82447191067300000000000000000000000000000,0.0178055556,0.0093611111,0,0.0086992197,0.0082434959,0,102.747088797,15.3130084226,102.742767873,15.3129832594,j
06521236+7425372,IC 0450,103.05146,74.42698,140.3275,26.10688,9.602,0.018,0.0188131065,0.0195686221,0.0005670598,82.7066755458,2.3966753794,-3,0,1,269.5,8.1,0,0,311.45835094,2804047905630000000000000000000000000000,0.0054722222,0.0054722222,1,0.0001503902,0.0001503902,0,103.050510003,74.4257658363,103.050980023,74.4299321475,p
06551006+4100097,CGCG 204-027,103.79185,41.00279,175.46498,18.06525,10.461,0.037,0.021561688,0.0220998378,0.0005003469,93.582704049,2.1187401796,-5,0,1,225.6,6.8,0,0,260.72357689,3005216784570000000000000000000000000000,0.0046944444,0.0046944444,1,0.0001806332,0.0001806332,0,103.790795553,41.002194875,103.785274291,41.0021382101,p
06561069+4237023,4C +42.22,104.04447,42.61739,173.93739,18.80161,11.273,0.057,0.0590011041,0.0611992419,0.0005003469,266.645859762,2.1800176076,98,0,1,932.4,34.6,0,0,1077.56499598,100836435450000000000000000000000000000000,0.0085277778,0.0085277778,0,0.0003391287,0.0003391287,0,104.043078284,42.6166139621,104.043014228,42.6207815666,j
07012902+2313260,4C +23.18,105.37099,23.22384,193.01883,12.45343,11.701,0.07,0.0919640683,0.0966889863,0.0005003469,431.734675887,2.2341438028,98,0,6,981.5,21.0489904746,0,0,1134.30935602,278272120681000000000000000000000000000000,0.0928055556,0.0307777778,0,0.0432262987,0.0028493266,0.0016671031,105.369363988,23.2188593599,105.373941633,23.222985639,j
07024038-2841501,NGC 2325,105.66829,-28.69725,239.96065,-10.41048,7.955,0.028,0.0072884109,0.0077102776,0.0003252255,31.7571601194,1.2986587025,-5,0,2,254.7,7.2249567473,0,0,294.354144654,390712938523000000000000000000000000000,0.0114166667,0.0059722222,0,0.0253904719,0.0002008256,0.00128526,105.672366221,-28.7024679999,105.667481936,-28.6941918731,p
07042876+1835222,CGCG 085-029,106.11981,18.58949,197.6174,11.14761,10.348,0.038,0.0260448112,0.0263416117,0.0005003469,111.899077082,2.1254718647,-2,0,1,247.2,8.7,0,0,285.68647255,4708114392560000000000000000000000000000,0.0049444444,0.0049444444,0,0.0008355348,0.0008355348,0.0016018478,106.113809131,18.5856256322,106.118160861,18.5898402077,p
07074155+3503309,2MASX J07074155+3503309,106.92321,35.0586,182.23384,18.2734,11.576,0.07,0.0784980203,0.0820701408,0.0005003469,362.829803713,2.2120196183,98,0,2,550.1,16.8760184878,0,0,635.744856593,110152176641000000000000000000000000000000,0.0298333333,0.0194444444,0,0.0258807722,0.0044287241,0,106.925806293,35.0659475947,106.925861131,35.0617806189,j
07090797+4836561,NGC 2329,107.28328,48.61554,168.57545,22.79937,9.45,0.028,0.0193301333,0.0200389493,0.0004586513,84.7725572392,1.8971850321,-4,0,3,747,16.0567742713,0,0,863.300141565,8165385645860000000000000000000000000000,0.0708611111,0.0353055556,0,0.0383293311,0.0008763495,0,107.257274279,48.6240066827,107.256901605,48.615676468,j
07135663-3501260,PKS 0712-349,108.486,-35.02396,246.82016,-10.96685,10.871,0.055,0.0441774436,0.0444667804,0.0005003469,191.430634915,2.154006219,-5,1,1,342.7,11.8,430.6,13,396.054830675,19102161595600000000000000000000000000000,0.0064166667,0.0064166667,0,0.0003897474,0.0001137283,0,108.485083872,-35.026860004,108.481321847,-35.0216760398,p
07163708+3642186,B2 0713+36,109.15459,36.70517,181.24806,20.53498,11.337,0.064,0.0702656184,0.0731530659,0.0005003469,321.417403145,2.1984067769,98,0,1,292.4,8.8,0,0,337.923643097,45947477618500000000000000000000000000000,0.0054166667,0.0054166667,1,0.000153992,0.000153992,0.0019592248,109.153810539,36.7028763417,109.148675514,36.7070922451,p
07164122+5323091,4C +53.16,109.17177,53.38594,163.82732,25.11065,10.504,0.049,0.0636076467,0.0662377715,0.0005003469,289.627504839,2.1877882688,-3,0,1,1501.4,49.9,0,0,1735.15238627,191567374828000000000000000000000000000000,0.0094722222,0.0094722222,0,0.0004171958,0.0004171958,0.0012020167,109.173753889,53.3861516757,109.166768129,53.3862187585,j
07170806-3621591,PKS 0715-36,109.28367,-36.36634,248.33838,-10.96375,10.445,0.058,0.0313585131,0.0311091544,0.0005003469,132.620486818,2.1330135306,-3,4,4,2471.8,54.6144669479,3608.5,73.0425903155,3076.00929389,71205444073200000000000000000000000000000,0.0903333333,0.0353611111,0,0.0444499959,0.0123877421,0,109.263634856,-36.3624949746,109.278728117,-36.3571374934,j
07171670+4308491,2MASX J07171670+4308491,109.31954,43.14693,174.69727,22.63711,11.042,0.06,0.0566027666,0.0586194335,0.0005003469,254.938167677,2.1760278134,-3,0,4,246,5.9741108125,0,0,284.299645013,24319260118700000000000000000000000000000,0.0756944444,0.0220555556,0,0.054516639,0.0007405747,0.0426662849,109.314714775,43.1437242772,109.314668057,43.1478912656,j
07172666+4405020,B3 0713+441,109.36107,44.08398,173.73166,22.93104,11.481,0.081,0.0651987551,0.0678102782,0.0005003469,296.831242127,2.190207602,98,0,2,226.4,7.7129760793,0,0,261.648128581,30341788177400000000000000000000000000000,0.0418333333,0.03475,0,0.0598191133,0.0005722538,0.0018473892,109.350533,44.0648293539,109.361905797,44.0857271155,p
07175757+0941218,UGC 03787,109.48984,9.68934,207.22267,10.25567,10.919,0.052,0.0286199386,0.0288271454,0.0005003469,122.684330094,2.1294068958,-3,0,1,319.6,9.6,0,0,369.358400595,7316956835360000000000000000000000000000,0.0048888889,0.0048888889,1,0.0002033864,0.0002033864,0,109.492287075,9.6892455759,109.488058748,9.6892606678,p
07181457-4711322,ESO 257- G 004,109.56081,-47.19231,258.52805,-15.30473,10.428,0.057,0.0423128113,0.0424303601,0.0005003469,182.393500713,2.1508188788,-5,5,0,0,0,905.6,19.3331321829,771.964532783,33800286832300000000000000000000000000000,0.0709166667,0.0247222222,0,0.0977560548,0.0003999709,0,109.581877958,-47.1850941779,109.56839031,-47.1850436584,j
07193787+5526064,2MASX J07193787+5526064,109.90782,55.43514,161.69794,25.94161,11.467,0.063,0.0656190479,0.0684181054,0.0005003469,299.619703994,2.1911420096,98,0,2,331.7,11.0652609549,0,0,383.342244923,45293068434400000000000000000000000000000,0.0190833333,0.0109722222,0,0.020568936,0.0009578625,0.001156608,109.910049421,55.4391860721,109.902705913,55.4393010108,j
07204757-3407058,PKS 0718-34,110.19823,-34.11834,246.62292,-9.30249,10.133,0.044,0.028353086,0.0280182404,0.0005003469,119.17007334,2.1281270296,98,1,3,2459.1,53.7457905328,3107,111.2,2841.95632948,53119763619000000000000000000000000000000,0.0281388889,0.0230277778,0,0.0101207081,0.0002473735,0,110.199886248,-34.1166117863,110.199994727,-34.1207796862,j
07271448+8545162,NGC 2276,111.80984,85.75455,127.67001,27.70927,9.246,0.04,0.0080589477,0.009044759,0.0005170251,37.9600377418,2.0600564976,5,0,3,290.8,8.81192374,0,0,336.074539715,637372327547000000000000000000000000000,0.0649444444,0.0257222222,0,0.0240168439,0.0006934876,0,111.936639952,85.7584057219,111.824639915,85.7541477072,g
07280854-3641594,2MASX J07280854-3641594,112.03571,-36.69991,249.64139,-9.13215,11.459,0.082,0.0709127359,0.0728672951,0.0005003469,320.098043854,2.1979690394,98,0,3,405.5,11.7851601601,0,0,468.632138427,63197868303500000000000000000000000000000,0.0476111111,0.0275833333,0,0.0299540161,0.0012561546,0,112.042657051,-36.7033242014,112.037510122,-36.6949706807,j
07331844-3654533,2MASX J07331844-3654533,113.32696,-36.91481,250.31685,-8.31408,10.502,0.055,0.0235297257,0.0230182566,0.0005003469,97.5389204733,2.1201994437,98,5,7,198.5,8.7447126883,416.6,19.9879963978,355.124143504,4446726402110000000000000000000000000000,0.2348055556,0.0836666667,0,0.1029622543,0.038114877,0.086221914,113.29749308,-36.9265992695,113.307829478,-36.9181965141,j
07332987+5742023,CGCG 286-029,113.37456,57.7006,159.51645,28.17829,11.294,0.05,0.0417190643,0.0431196006,0.0005003469,185.449321978,2.1518981823,98,0,3,305.9,6.6678332313,0,0,353.525452885,16002045737700000000000000000000000000000,0.0665,0.0254722222,0,0.0322171081,0.0028877442,0,113.36847668,57.6945384285,113.383998298,57.698781995,j
07373010+5941031,UGC 03927,114.3754,59.68421,157.33247,28.90234,10.628,0.047,0.0405382416,0.041908556,0.0005003469,180.08197424,2.1500014111,-2,0,1,560.6,16.8,0,0,647.879597539,27652799868300000000000000000000000000000,0.0048888889,0.0048888889,1,7.84124978447E-005,7.84124978447E-005,0.002456167,114.37427526,59.6865996573,114.366022177,59.6867174344,p
07483682+5548591,CGCG 262-029,117.15347,55.81637,161.90543,30.04421,10.93,0.05,0.0356615109,0.0367655983,0.0005003469,157.389325894,2.1419278434,-5,0,18,2196.5,40.6657103713,0,0,2538.47223688,82761297142600000000000000000000000000000,0.4225555556,0.0353333333,0,0.2504608353,0.000287937,0,117.151028718,55.8170144784,117.150723628,55.8211776323,j
07524421+4556576,B3 0749+460A,118.18421,45.94932,173.27522,29.4242,11.485,0.049,0.0516926792,0.0534056707,0.0005003469,231.400205508,2.1679415332,98,0,4,617.6,14.8643869702,0,0,713.75390553,50301426185000000000000000000000000000000,0.0505555556,0.0228888889,0,0.038592159,0.0018176492,0,118.172081696,45.9446235738,118.171944203,45.9487915867,j
07545738-0222120,2MASX J07545738-0222120,118.73908,-2.37003,222.46927,12.97063,11.447,0.086,0.0884949848,0.0923633909,0.0005003469,411.216223235,2.2276223677,98,0,5,703.8,12.19549097,0,0,813.374350246,181023631629000000000000000000000000000000,0.06425,0.0221388889,0,0.032304118,0.0105779395,0.0067396358,118.748823116,-2.3779978515,118.740491996,-2.3654800668,u
07582810+3747121,NGC 2484,119.61712,37.78666,182.67639,28.82835,10.074,0.037,0.0408217725,0.0418498643,0.0005003469,179.822082411,2.1499094443,-2,0,1,2717.9,84,0,0,3141.04880155,133679573008000000000000000000000000000000,0.0313333333,0.0313333333,0,0.0016984818,0.0016984818,0,119.617371601,37.7900922742,119.617371601,37.7900922742,j
07583734+0801468,NGC 2496,119.65563,8.02968,213.30392,18.56326,9.748,0.042,0.03187554,0.032079515,0.0005003469,136.855414026,2.1345453588,-5,0,2,536.2,16.7299133291,0,0,619.68077096,15275530655000000000000000000000000000000,0.0175555556,0.0123333333,0,0.0032770174,0.0013168251,0,119.654948867,8.0290234869,119.659153357,8.0331936239,j
08162288-7039398,ESO 060-IG 002 NED01,124.09518,-70.66105,283.89294,-18.87497,10.996,0.068,0.0697786124,0.0715204233,0.0005003469,313.886302696,2.1959046934,-5,3,0,0,0,1940.1,49.5072721931,1653.80785121,214453974107000000000000000000000000000000,0.0668611111,0.0308055556,0,0.0332042464,0.0073243724,0,124.173939226,-70.6371492175,124.128101473,-70.6501054681,j
08173619+5957137,CGCG 287-066,124.40091,59.95378,157.08273,33.94036,10.272,0.036,0.0285932533,0.0294843407,0.0005003469,125.542504712,2.1304461765,-2,0,2,464.8,14.9083869013,0,0,537.164532529,11142771589900000000000000000000000000000,0.0404444444,0.0286388889,0,0.0179720645,0.0003050374,0,124.403056155,59.9512131819,124.394350829,59.9551799806,j
